ID,LACT,DIM,MILK,FAT,PROTEIN,BW,DMI,NEL
1722,1,272,33.1055,6.35,4.34,630.2040816,25.43541361,1.763929287
9285,5,79,56.6875,2.42,2.96,702.9304029,27.32094699,1.73318396
1021,3,212,53.0595,2.66,3.32,727.2893773,27.72044315,1.687658155
1936,1,89,39.908,5.04,3.2,602.1938776,25.21892577,1.824554837
1925,1,105,39.4545,5.09,3.3,604.6428571,25.25877514,1.815479576
1594,2,72,43.536,4.21,3.27,701.6483516,27.14686877,1.733767952
1006,3,101,64.8505,1.54,3.01,706.959707,27.30324579,1.711658413
1612,2,51,43.536,4.23,3.21,704.7619048,26.81061062,1.760351204
1792,1,154,46.257,3.48,3.64,612.1428571,25.0241935,1.780579987
1956,1,90,43.0825,4.29,3.24,602.3469388,25.0931963,1.81634012
9294,5,172,48.5245,3.41,3.06,719.96337,27.77946194,1.706357667
1501,2,138,43.9895,3.81,3.72,713.7362637,27.20227148,1.686821497
1453,2,195,41.2685,4.52,3.38,724.1758242,27.69874426,1.692917561
1693,1,331,35.8265,5.72,3.62,639.2346939,25.77644491,1.763933734
9884,4,61,65.304,1.55,2.78,700.7936508,26.92766247,1.743124224
1398,2,217,42.1755,4.36,3.26,728.2051282,27.80891934,1.690816905
1715,1,277,34.0125,6.18,3.73,630.9693878,25.55116991,1.769079381
1788,1,190,36.7335,5.42,3.66,617.6530612,25.22850402,1.779972918
1378,2,247,43.0825,3.92,3.71,733.6996337,27.58609508,1.666487835
1769,1,212,38.094,5.13,3.53,621.0204082,25.34365984,1.779163384
1900,1,90,37.187,5.59,3.1,602.3469388,25.12704297,1.818323007
8679,6,312,40.815,4.36,3.73,745.6043956,27.86710683,1.658072513
9871,4,77,43.0825,4.15,3.24,702.5641026,27.03414399,1.719343031
8897,6,220,47.164,3.35,3.35,728.7545788,27.60371828,1.677862759
1937,1,72,38.5475,5.04,3.42,599.5918367,24.69768523,1.814732057
9363,5,18,43.536,3.92,3.45,717.8571429,23.6750366,1.946290191
9894,4,17,39.4545,4.72,3.56,718.2539683,23.49322223,1.963249812
1530,2,90,41.722,4.24,3.52,704.9450549,26.96129276,1.700312022
1557,2,36,48.5245,3.25,3.1,710.7142857,25.93548926,1.793497758
1762,1,230,35.8265,5.49,3.85,623.7755102,25.19276665,1.763926371
1461,2,200,41.722,4.36,3.29,725.0915751,27.63204828,1.687169817
1375,2,195,34.9195,5.69,3.95,724.1758242,27.36096139,1.673340077
1444,2,216,39.001,4.8,3.59,728.021978,27.55443526,1.676535822
1637,2,76,43.9895,3.96,3.19,702.3809524,26.98548023,1.717948478
1843,1,152,36.7335,5.43,3.48,611.8367347,25.10900097,1.786373028
1458,2,162,38.094,4.97,3.67,718.1318681,27.2983187,1.682597879
8732,6,311,41.722,4.22,3.51,745.4212454,27.90690975,1.660763152
1027,3,287,39.908,4.57,3.56,741.025641,27.79759681,1.663535554
1926,1,95,33.1055,6.32,3.75,603.1122449,24.75387173,1.792134927
9124,5,164,43.536,4.06,3.09,718.4981685,27.53254341,1.695389607
1804,1,198,39.4545,4.49,3.82,618.877551,24.90577063,1.757728131
1083,3,144,45.8035,3.49,3.34,714.8351648,27.19842093,1.684060728
1568,2,73,41.722,4.34,3.19,701.8315018,26.89902664,1.717591982
1113,3,141,39.4545,4.65,3.52,714.2857143,27.18618272,1.684602618
1424,2,208,40.815,4.34,3.53,726.5567766,27.42377889,1.671991195
9463,4,192,44.8965,3.66,3.3,723.6263736,27.42848311,1.678453794
1309,2,216,42.1755,4.03,3.56,728.021978,27.39354923,1.66712609
9283,5,141,44.8965,3.69,3.24,714.2857143,27.25776779,1.688790752
9867,4,112,44.8965,3.61,3.38,708.974359,27.01529093,1.688210657
1901,1,100,37.6405,5.12,3.44,603.877551,24.7938137,1.791047239
1428,2,245,35.373,5.3,4.2,733.3333333,27.28105299,1.649236306
9890,4,36,53.9665,2.37,3.17,710.7142857,25.66680677,1.776081953
1747,1,253,33.1055,5.92,4.29,627.2959184,24.95070674,1.741165382
1450,2,190,37.187,5.12,3.58,723.2600733,27.34455253,1.674319333
1630,1,366,38.5475,4.85,3.45,644.5918367,25.6619085,1.745225482
9669,3,403,43.9895,3.76,3.34,762.2710623,28.21134013,1.643689356
1776,1,201,41.722,4.03,3.62,619.3367347,24.8985626,1.756230197
9906,4,66,43.0825,3.83,3.49,700.5494505,26.46062725,1.705012704
1760,1,230,38.5475,4.8,3.5,623.7755102,25.14694229,1.761166063
1164,3,61,59.4085,1.6,3.4,700.7936508,26.1094424,1.693572755
9951,3,259,39.908,4.35,3.74,735.8974359,27.42528685,1.65240754
1046,3,187,41.722,4.31,3.11,722.7106227,27.51777804,1.685578982
1931,1,103,35.8265,5.52,3.46,604.3367347,24.76018111,1.787121704
